"age","campaign_interest","vote_primary","vote_pres","right_track","ideology","govt_corrupt"
53,3,-1,-1,-9,6,4
75,1,1,-1,2,4,3
37,2,-1,-1,2,3,4
77,2,-1,-1,1,6,3
-9,3,-1,-1,2,99,2
68,1,8,-1,1,7,2
66,2,8,-1,1,99,4
43,2,-1,-1,2,99,4
72,2,-1,-1,2,4,4
50,2,3,-1,2,5,2
58,1,5,-1,2,2,3
28,2,5,-1,2,3,2
59,2,1,-1,2,4,3
72,1,8,-1,1,7,4
29,2,-1,-1,2,3,2
60,1,1,-1,2,2,4
66,1,3,-1,2,4,2
56,1,1,-1,2,2,2
40,2,8,-1,2,6,3
45,2,-1,-1,2,5,4
51,1,-1,-1,2,6,2
68,1,5,-1,2,4,3
22,2,-1,-1,2,5,4
40,1,8,-1,1,5,2
63,1,1,-1,2,3,2
59,1,5,-1,2,2,3
53,1,-1,-1,2,6,-9
80,2,1,-1,2,99,4
67,1,8,-1,1,7,3
35,3,-1,-1,1,99,5
69,2,5,-1,2,4,2
80,1,1,-1,2,6,4
62,1,8,2,2,7,3
38,3,-1,-1,2,99,2
71,1,-1,-1,2,99,4
80,2,8,-1,2,6,4
61,1,4,-1,2,4,4
65,1,8,-1,2,6,3
30,3,-1,-1,2,99,4
38,1,-1,-1,2,99,4
80,1,-1,-1,2,99,3
80,1,1,-1,2,2,4
-9,1,8,2,2,5,3
65,3,-1,-1,2,6,2
48,1,3,-1,2,2,4
38,2,5,-1,2,1,3
-9,1,-1,-1,2,5,4
67,2,1,-1,2,3,3
80,2,1,-1,2,99,4
33,1,-1,-1,2,4,2
76,1,8,-1,1,6,3
43,1,1,-1,2,99,3
32,1,-1,-1,2,2,2
41,1,-1,-1,2,6,2
80,1,-1,-1,1,7,2
45,2,-1,-1,2,3,2
56,1,1,-1,2,2,3
68,1,-1,-1,-9,4,4
73,1,3,-1,2,4,4
69,1,-1,-1,2,4,3
73,2,1,-1,2,3,2
43,1,-1,-1,1,6,3
48,3,-1,-1,2,4,1
62,1,-1,-1,1,4,4
41,2,1,-1,2,3,4
20,2,-1,-1,2,4,3
63,2,-1,-1,2,6,2
34,3,9,-1,2,4,4
80,2,-1,-1,2,99,2
76,2,8,-1,2,6,3
44,2,-1,-1,1,7,2
51,1,-1,-1,2,3,2
69,1,1,-1,2,3,4
27,2,-1,-1,1,6,5
48,3,-1,-1,2,6,3
74,1,1,-1,2,4,2
72,1,-1,-1,2,5,3
60,2,-1,-1,1,6,3
32,1,6,-1,2,2,2
70,1,9,4,2,5,2
50,2,-1,-1,2,6,2
59,2,1,-1,2,99,2
52,2,-9,-1,2,5,2
67,1,8,2,2,5,4
60,1,8,-1,1,5,3
24,3,-1,-1,2,3,2
31,2,-1,-1,2,3,2
